City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Boa Vista,BR,77.0,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
6,Arraial Do Cabo,BR,74.75,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
7,Avarua,CK,86.0,few clouds,-21.2078,-159.775,Paradise Inn
10,Busselton,AU,73.99,scattered clouds,-33.65,115.3333,Observatory Guest House
14,Rikitea,PF,79.54,clear sky,-23.1203,-134.9692,Pension Maro'i
16,Grand Baie,MU,84.0,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
20,Ahipara,NZ,70.29,clear sky,-35.1667,173.1667,Ahipara Holiday Park
21,Grand-Lahou,CI,77.59,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
23,Sakete,BJ,73.35,overcast clouds,6.7362,2.6587,Chambre Sakété
24,Ligayan,PH,81.54,scattered clouds,4.6533,119.4706,
29,Airai,TL,72.97,moderate rain,-8.9266,125.4092,Juvinal Martin
30,Progreso,MX,75.2,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
31,Saint-Philippe,RE,86.0,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
34,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
35,New Norfolk,AU,89.01,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
40,Vaini,TO,82.4,moderate rain,-21.2,-175.2,Keleti Beach Resort
41,Poum,NC,82.81,light rain,-20.2333,164.0167,Gîte kajeon
42,Kudahuvadhoo,MV,83.37,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
46,Kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
49,Atuona,PF,78.15,clear sky,-9.8,-139.0333,Villa Enata
50,Yeppoon,AU,80.6,scattered clouds,-23.1333,150.7333,Villa Mar Colina
52,Cap Malheureux,MU,84.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
53,Puerto Ayacucho,VE,75.72,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
56,Butaritari,KI,79.95,broken clouds,3.0707,172.7902,Isles Sunset Lodge
60,La Asuncion,VE,75.65,clear sky,11.0333,-63.8628,Colinas de Matasiete
64,Morrope,PE,73.0,overcast clouds,-6.5417,-80.0111,Hipolito santamaria
65,Negombo,LK,82.4,clear sky,7.2083,79.8358,Hotel Sunset Beach
68,Tezu,IN,71.13,broken clouds,27.9167,96.1667,Circuit House
70,Mbandaka,CD,72.7,broken clouds,0.0487,18.2603,Guest House Epervier
71,Eldorado,BR,70.23,few clouds,-23.7869,-54.2836,Villa Verde Hotel
77,Hilo,US,71.6,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
85,Namibe,AO,75.0,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
94,Puerto Ayora,EC,75.99,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
95,Hualmay,PE,71.82,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
98,Beloha,MG,78.84,few clouds,-25.1667,45.05,
101,Mar Del Plata,AR,75.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
109,Barabai,ID,87.75,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
111,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
113,Guatire,VE,84.2,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
118,Yulara,AU,91.4,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
119,Ha Tinh,VN,71.82,scattered clouds,18.3333,105.9,Phú Quý
120,Sao Joao Da Barra,BR,74.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
123,Presidencia Roque Saenz Pena,AR,75.99,broken clouds,-26.7852,-60.4388,Hotel Gualok
126,Ambon,ID,78.8,heavy intensity rain,-3.6954,128.1814,Swiss-Belhotel Ambon
127,Tautira,PF,82.4,scattered clouds,-17.7333,-149.15,Pension Oaoa
128,Pangkalanbuun,ID,92.95,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
131,Cayenne,GF,75.2,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
132,Hobart,AU,89.01,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
137,El Vigia,VE,75.51,broken clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
140,Hithadhoo,MV,81.63,broken clouds,-0.6,73.0833,Scoop Guest House
141,Cidreira,BR,75.65,clear sky,-30.1811,-50.2056,Hotel Castelo
143,Lorengau,PG,85.55,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
