City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Along,IN,28.1667,94.7667,58.17,52,94,1.23,overcast clouds
1,Boa Vista,BR,2.8197,-60.6733,77.0,83,75,10.36,broken clouds
2,Nyurba,RU,63.2842,118.3319,-45.94,76,54,5.61,broken clouds
3,Albany,US,42.6001,-73.9662,15.01,53,0,8.01,clear sky
4,Port Alfred,ZA,-33.5906,26.891,66.99,95,94,7.0,light rain
5,Mataura,NZ,-46.1927,168.8643,60.01,78,100,21.99,overcast clouds
6,Arraial Do Cabo,BR,-22.9661,-42.0278,74.75,87,100,16.08,overcast clouds
7,Avarua,CK,-21.2078,-159.775,86.0,66,20,12.66,few clouds
8,Sexsmith,CA,55.35,-118.786,6.8,92,90,4.61,light snow
9,Roald,NO,62.5833,6.1333,39.2,60,40,8.05,scattered clouds
10,Busselton,AU,-33.65,115.3333,73.99,57,43,5.01,scattered clouds
11,Sioux Lookout,CA,50.1001,-91.917,17.6,86,90,6.91,light snow
12,Yamada,JP,39.4667,141.95,38.44,75,100,3.42,overcast clouds
13,Vostok,RU,46.4856,135.8833,21.67,90,0,4.41,clear sky
14,Rikitea,PF,-23.1203,-134.9692,79.54,65,0,7.52,clear sky
15,Yerbogachen,RU,61.2767,108.0108,-36.53,80,100,1.74,overcast clouds
16,Grand Baie,MU,-20.0182,57.5802,84.0,69,3,4.0,clear sky
17,Jamestown,US,42.097,-79.2353,17.6,86,90,4.61,light snow
18,Vesoul,FR,47.5833,5.8333,33.8,86,90,9.22,overcast clouds
19,Rawson,AR,-43.3002,-65.1023,65.39,62,70,12.91,broken clouds
20,Ahipara,NZ,-35.1667,173.1667,70.29,70,6,11.14,clear sky
21,Grand-Lahou,CI,5.1367,-5.0242,77.59,90,42,9.91,scattered clouds
22,Nikolskoye,RU,59.7035,30.7861,34.0,93,90,8.95,light snow
23,Sakete,BJ,6.7362,2.6587,73.35,93,92,4.56,overcast clouds
24,Ligayan,PH,4.6533,119.4706,81.54,74,36,5.95,scattered clouds
25,Zhigansk,RU,66.7697,123.3711,-51.75,74,53,4.43,broken clouds
26,Torbay,CA,47.6666,-52.7314,24.01,80,20,16.11,few clouds
27,Cape Town,ZA,-33.9258,18.4232,64.99,67,20,13.8,few clouds
28,Chicama,PE,-7.8447,-79.1469,69.8,88,40,8.05,light rain
29,Airai,TL,-8.9266,125.4092,72.97,78,89,4.07,moderate rain
30,Progreso,MX,21.2833,-89.6667,75.2,83,40,9.22,scattered clouds
31,Saint-Philippe,RE,-21.3585,55.7679,86.0,62,75,4.61,broken clouds
32,Aswan,EG,24.0934,32.907,52.92,40,0,9.84,clear sky
33,Ilulissat,GL,69.2167,-51.1,15.8,48,30,16.11,scattered clouds
34,Souillac,MU,-20.5167,57.5167,78.8,83,40,6.46,scattered clouds
35,New Norfolk,AU,-42.7826,147.0587,89.01,18,100,1.99,overcast clouds
36,Longyearbyen,SJ,78.2186,15.6401,12.2,73,75,11.5,broken clouds
37,Palmer,US,42.1584,-72.3287,17.01,60,0,3.0,clear sky
38,Ginir,ET,7.1333,40.7,56.32,63,57,2.21,broken clouds
39,Ossora,RU,59.2353,163.0719,-3.78,86,0,4.43,clear sky
40,Vaini,TO,-21.2,-175.2,82.4,83,75,5.75,moderate rain
41,Poum,NC,-20.2333,164.0167,82.81,77,72,21.07,light rain
42,Kudahuvadhoo,MV,2.6708,72.8944,83.37,66,81,7.72,broken clouds
43,Yellowknife,CA,62.456,-114.3525,-31.0,75,20,4.61,few clouds
44,Maniitsoq,GL,65.4167,-52.9,16.75,76,0,4.83,clear sky
45,Viransehir,TR,37.2353,39.7631,34.57,73,59,6.76,broken clouds
46,Kapaa,US,22.0752,-159.319,73.4,88,75,17.27,light rain
47,Varhaug,NO,58.6147,5.6457,30.2,86,0,8.05,clear sky
48,Saint George,US,37.1041,-113.5841,44.01,70,75,3.44,broken clouds
49,Atuona,PF,-9.8,-139.0333,78.15,80,9,17.83,clear sky
50,Yeppoon,AU,-23.1333,150.7333,80.6,69,40,11.5,scattered clouds
51,Ribeira Grande,PT,38.5167,-28.7,62.6,87,64,25.95,broken clouds
52,Cap Malheureux,MU,-19.9842,57.6142,84.0,69,3,4.0,clear sky
53,Puerto Ayacucho,VE,5.6639,-67.6236,75.72,88,100,1.07,overcast clouds
54,Punta Arenas,CL,-53.15,-70.9167,51.8,62,75,16.11,light rain
55,Mount Gambier,AU,-37.8333,140.7667,104.0,9,100,13.8,overcast clouds
56,Butaritari,KI,3.0707,172.7902,79.95,78,68,8.66,broken clouds
57,Port Elizabeth,ZA,-33.918,25.5701,68.0,83,0,20.71,clear sky
58,Kaitangata,NZ,-46.2817,169.8464,61.0,63,93,17.0,overcast clouds
59,Bluff,NZ,-46.6,168.3333,60.01,78,92,21.99,overcast clouds
